n,Hybrid,QuickSort,Quick+Insertion,JavaSort,MergeSort
1000,0.110,0.039,0.033,0.019,0.223
2000,0.325,0.085,0.070,0.050,0.598
5000,0.695,0.228,0.221,0.155,0.409
10000,0.902,0.490,0.418,0.336,0.670
15000,1.043,0.734,0.648,0.530,1.057
20000,1.218,1.029,0.875,0.725,1.444
30000,1.581,1.609,1.378,1.182,2.635
40000,2.196,2.202,1.962,1.606,3.348
50000,2.374,2.921,2.598,2.059,4.557
70000,2.771,4.138,3.819,2.868,5.086
100000,4.454,5.944,5.189,4.393,7.614
150000,5.743,9.123,7.949,6.521,11.444
200000,7.802,12.536,11.138,9.139,15.701
300000,10.743,19.402,17.005,14.201,25.437
500000,18.679,33.068,30.055,25.321,43.973
