algorithm,n,time_ms
Hybrid,1000,0.11
Hybrid,2000,0.325
Hybrid,5000,0.695
Hybrid,10000,0.902
Hybrid,15000,1.043
Hybrid,20000,1.218
Hybrid,30000,1.581
Hybrid,40000,2.196
Hybrid,50000,2.374
Hybrid,70000,2.771
Hybrid,100000,4.454
Hybrid,150000,5.743
Hybrid,200000,7.802
Hybrid,300000,10.743
Hybrid,500000,18.679
QuickSort,1000,0.039
QuickSort,2000,0.085
QuickSort,5000,0.228
QuickSort,10000,0.49
QuickSort,15000,0.734
QuickSort,20000,1.029
QuickSort,30000,1.609
QuickSort,40000,2.202
QuickSort,50000,2.921
QuickSort,70000,4.138
QuickSort,100000,5.944
QuickSort,150000,9.123
QuickSort,200000,12.536
QuickSort,300000,19.402
QuickSort,500000,33.068
Quick+Insertion,1000,0.033
Quick+Insertion,2000,0.07
Quick+Insertion,5000,0.221
Quick+Insertion,10000,0.418
Quick+Insertion,15000,0.648
Quick+Insertion,20000,0.875
Quick+Insertion,30000,1.378
Quick+Insertion,40000,1.962
Quick+Insertion,50000,2.598
Quick+Insertion,70000,3.819
Quick+Insertion,100000,5.189
Quick+Insertion,150000,7.949
Quick+Insertion,200000,11.138
Quick+Insertion,300000,17.005
Quick+Insertion,500000,30.055
JavaSort,1000,0.019
JavaSort,2000,0.05
JavaSort,5000,0.155
JavaSort,10000,0.336
JavaSort,15000,0.53
JavaSort,20000,0.725
JavaSort,30000,1.182
JavaSort,40000,1.606
JavaSort,50000,2.059
JavaSort,70000,2.868
JavaSort,100000,4.393
JavaSort,150000,6.521
JavaSort,200000,9.139
JavaSort,300000,14.201
JavaSort,500000,25.321
MergeSort,1000,0.223
MergeSort,2000,0.598
MergeSort,5000,0.409
MergeSort,10000,0.67
MergeSort,15000,1.057
MergeSort,20000,1.444
MergeSort,30000,2.635
MergeSort,40000,3.348
MergeSort,50000,4.557
MergeSort,70000,5.086
MergeSort,100000,7.614
MergeSort,150000,11.444
MergeSort,200000,15.701
MergeSort,300000,25.437
MergeSort,500000,43.973
